location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20230203T1800,7.4302454
20230203T1900,7.290245
20230203T2000,7.130245
20230203T2100,7.2202454
20230203T2200,7.3202453
20230203T2300,7.0802455
20230204T0000,6.860245
20230204T0100,6.7202454
20230204T0200,6.5602455
20230204T0300,6.610245
20230204T0400,6.610245
20230204T0500,6.5702453
20230204T0600,6.460245
20230204T0700,6.3402452
20230204T0800,6.5502453
20230204T0900,7.0102453
20230204T1000,7.3402452
20230204T1100,7.920245
20230204T1200,8.430245
20230204T1300,8.840245
20230204T1400,8.590245
20230204T1500,8.300245
20230204T1600,7.5502453
20230204T1700,6.290245
20230204T1800,4.750245
20230204T1900,3.4902453
20230204T2000,2.4602454
20230204T2100,2.0602455
20230204T2200,2.2002454
20230204T2300,2.1402454
20230205T0000,1.6502454
20230205T0100,1.3402455
20230205T0200,1.0602454
20230205T0300,0.4602454
20230205T0400,0.35024542
20230205T0500,0.3702454
20230205T0600,0.4202454
20230205T0700,0.5402454
20230205T0800,1.1202455
20230205T0900,2.0002456
20230205T1000,3.1502452
20230205T1100,3.8402452
20230205T1200,4.8502455
20230205T1300,5.3702455
20230205T1400,5.4902453
20230205T1500,5.5702453
20230205T1600,5.360245
20230205T1700,5.170245
20230205T1800,4.9102454
20230205T1900,4.730245
20230205T2000,4.5002456
20230205T2100,4.5002456
20230205T2200,4.400245
20230205T2300,4.3702455
20230206T0000,4.3902454
20230206T0100,4.1202455
20230206T0200,3.8002453
20230206T0300,3.4802456
20230206T0400,3.2602453
20230206T0500,3.0702453
20230206T0600,2.8902454
20230206T0700,2.6402454
20230206T0800,2.8002453
20230206T0900,3.1402454
20230206T1000,3.9802456
20230206T1100,4.4502454
20230206T1200,4.900245
20230206T1300,4.9902453
20230206T1400,4.880245
20230206T1500,4.5302453
20230206T1600,3.8502455
20230206T1700,3.1402454
20230206T1800,2.6602454
20230206T1900,2.3902454
20230206T2000,2.2302454
20230206T2100,2.0102453
20230206T2200,1.0802454
20230206T2300,0.6702454
20230207T0000,0.6902454
20230207T0100,0.5002454
20230207T0200,-0.04975462
20230207T0300,-0.3197546
20230207T0400,-0.86975455
20230207T0500,-1.7597545
20230207T0600,-2.8697548
20230207T0700,-3.1597548
20230207T0800,-1.1197546
20230207T0900,0.1502454
20230207T1000,1.1602454
20230207T1100,2.0802455
20230207T1200,3.1702452
20230207T1300,4.110245
20230207T1400,4.670245
20230207T1500,4.8002453
20230207T1600,3.6802454
20230207T1700,0.7902454
20230207T1800,-0.21975458
20230207T1900,-1.0997546
20230207T2000,-1.6397547
20230207T2100,-2.0897546
20230207T2200,-2.7197547
20230207T2300,-3.0397544
20230208T0000,-3.3297548
20230208T0100,-3.3897548
20230208T0200,-3.6597548
20230208T0300,-3.8097548
20230208T0400,-4.1697545
20230208T0500,-4.4497547
20230208T0600,-4.249755
20230208T0700,-3.5097547
20230208T0800,-2.3297548
20230208T0900,-0.6997546
20230208T1000,0.17024541
20230208T1100,0.9602454
20230208T1200,1.7502455
20230208T1300,2.3402452
20230208T1400,2.7602453
20230208T1500,2.9802456
20230208T1600,3.1202455
20230208T1700,2.7102456
20230208T1800,1.0902455
20230208T1900,-2.3297548
20230208T2000,-2.9197545
20230208T2100,-3.769755
20230208T2200,-3.8097548
20230208T2300,-4.4197545
20230209T0000,-4.9297547
20230209T0100,-5.4397545
20230209T0200,-5.6697545
20230209T0300,-6.059755
20230209T0400,-5.9897547
20230209T0500,-6.119755
20230209T0600,-5.9697547
20230209T0700,-5.8597546
20230209T0800,-3.5397549
20230209T0900,-0.8197546
20230209T1000,0.9502454
20230209T1100,2.8802452
20230209T1200,4.4702454
20230209T1300,5.500245
20230209T1400,6.0302453
20230209T1500,6.0102453
20230209T1600,5.0102453
20230209T1700,3.2702456
20230209T1800,1.3402455
20230209T1900,0.2802454
20230209T2000,-1.3697546
20230209T2100,-3.0797548
20230209T2200,-4.1797547
20230209T2300,-4.4697547
20230210T0000,-4.289755
20230210T0100,-4.349755
20230210T0200,-5.209755
20230210T0300,-5.4497547
20230210T0400,-5.619755
20230210T0500,-5.6797547
20230210T0600,-5.6597548
20230210T0700,-5.789755
20230210T0800,-3.0597544
20230210T0900,-0.4597546
20230210T1000,1.6102453
20230210T1100,3.4802456
20230210T1200,4.9102454
20230210T1300,5.770245
20230210T1400,6.3702455
20230210T1500,6.1602454
20230210T1600,4.4102454
20230210T1700,3.2802453
20230210T1800,1.8002454
20230210T1900,0.20024541
20230210T2000,-1.3197546
20230210T2100,-2.3497548
20230210T2200,-3.3297548
20230210T2300,-3.1697545
20230211T0000,-3.769755
20230211T0100,-4.249755
20230211T0200,-4.4097548
20230211T0300,-4.5497546
20230211T0400,-4.9097548
20230211T0500,-4.8997545
20230211T0600,-5.1097546
20230211T0700,-4.4497547
20230211T0800,-2.2697544
20230211T0900,-0.86975455
20230211T1000,2.3102455
20230211T1100,4.5602455
20230211T1200,6.2602453
20230211T1300,7.520245
20230211T1400,8.220245
20230211T1500,8.300245
20230211T1600,5.8702455
20230211T1700,4.9902453
20230211T1800,2.8302455
20230211T1900,0.070245415
20230211T2000,-1.0697546
20230211T2100,-1.6597546
20230211T2200,-2.0297546
20230211T2300,-2.0497546
20230212T0000,-2.0697546
20230212T0100,-2.0797548
20230212T0200,-2.4897547
20230212T0300,-2.3597546
20230212T0400,-2.6397548
20230212T0500,-2.9097548
20230212T0600,-3.1097546
20230212T0700,-2.7897544
20230212T0800,-0.77975464
20230212T0900,2.2102454
20230212T1000,4.980245
20230212T1100,6.9502454
20230212T1200,8.450246
20230212T1300,9.420245
20230212T1400,10.180245
20230212T1500,10.200245
20230212T1600,8.340245
20230212T1700,5.940245
20230212T1800,3.7802453
20230212T1900,2.7602453
20230212T2000,2.0502453
20230212T2100,0.97024536
20230212T2200,0.6002454
20230212T2300,0.3802454
20230213T0000,0.2602454
20230213T0100,0.4202454
20230213T0200,0.5802454
20230213T0300,0.6202454
20230213T0400,0.6602454
20230213T0500,0.7102454
